name;director;runtime;release;music;budget;boxoffice;tomatometer;audiencescore;budget_adj;boxoffice_adj;Franchise
3: Transformers: Dark of the Moon;Michael Bay;154;23.06.2011;Steve Jablonsky;195;1124;35;55;221,629322;1277,494143;Transformers
4: Transformers: Age of Extinction;Michael Bay;165;19.06.2014;Steve Jablonsky;210;1104;18;50;226,7841393;1192,236618;Transformers
5: Transformers: The Last Knight;Michael Bay;149;18.06.2017;Steve Jablonsky;238;605,4;15;43;248,2309318;631,4243954;Transformers
6: Bumblebee;Travis Knight;114;03.12.2018;Dario Marianelli;118;468;91;74;120,1381323;476,4800503;Transformers
1: Twilight;Catherine Hardwicke;121;17.11.2008;Carter Burwell;37;407,1;49;73;43,93497056;483,4034194;The Twilight Saga
2: The Twilight Saga: New Moon;Chris Weitz;130;16.11.2009;Alexandre Desplat;50;711;28;61;59,5834285;847,2763533;The Twilight Saga
3: The Twilight Saga: Eclipse;David Slade;123;24.06.2010;Howard Shore;68;698,4;48;60;79,72592299;818,8321267;The Twilight Saga
4: The Twilight Saga: Breaking Dawn – Part 1;Bill Condon;117;30.10.2011;Carter Burwell;110;712,2;25;60;125,0216688;809,4584776;The Twilight Saga
5: The Twilight Saga: Breaking Dawn – Part 2;Bill Condon;115;16.11.2012;Carter Burwell;136,2;829,7;49;70;151,661176;923,8860331;The Twilight Saga
1: X-Men;Bryan Singer;104;12.07.2000;Michael Kamen;75;296,3;82;83;111,3488676;439,9022596;X-Men
2: X2;Bryan Singer;133;24.04.2003;John Ottman;118;407,7;85;85;163,9910813;566,6030835;X-Men
3: X-Men: The Last Stand;Brett Ratner;104;26.05.2006;John Powell;210;460,4;57;61;266,3203836;583,8757363;X-Men
4: X-Men Origins: Wolverine;Gavin Hood;107;09.04.2009;Harry Gregson-Williams;150;373,1;37;58;178,7502855;444,6115435;X-Men
5: X-Men: First Class;Matthew Vaughn;132;25.05.2011;Henry Jackman;150;353,6;85;87;170,4840938;401,8878372;X-Men
6: The Wolverine;James Mangold;126;26.07.2013;Marco Beltrami;116;414,8;71;69;127,303328;455,219142;X-Men
7: X-Men: Days of Future Past;Bryan Singer;131;10.05.2014;John Ottman;210;746;90;91;226,7841393;805,6236567;X-Men
8: Deadpool;Tim Miller;108;08.02.2016;Junkie XL;58;782,6;85;90;61,78197303;833,6305533;X-Men
9: X-Men: Apocalypse;Bryan Singer;144;09.05.2016;John Ottman;178;543,9;47;65;189,6067448;579,3657781;X-Men
10: Logan;James Mangold;137;17.02.2017;Marco Beltrami;112;619;93;90;116,8145561;645,6090201;X-Men
11: Deadpool 2;David Leitch;119;10.05.2018;Tyler Bates;110;785,8;84;85;111,9931742;800,0385119;X-Men
12: Dark Phoenix;Simon Kinberg;114;04.06.2019;Hans Zimmer;200;252,4;22;64;200;252,4;X-Men
13: The New Mutants;Josh Boone;94;28.08.2020;Mark Snow;74;46,3;32;56;74;46,3;X-Men
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
